CM0108,38466888,41466877,42766888,45133555,46466888,49466888,50200222,53200222,54033544,57033555,58400222,61400222,62066888,65066888,67500222,69833555,70466877,73466888,74200222,77200211,77933544,80933555,82000222,85000222,86133544,89133544,90000222,93000222,94066888,97066888,98233544,101233555,102266877,105266888,106166877,109166888,110266888,113266866,116766877,119766888,126000222,129000222,130233544,133233555,134466888,137466888,138266888,141266888,142466888,145466888,146466888,149466877,150233544,153233544,154200222,157200222,158100222,161100222,162200222,165200211,166266877,169266877,170400222,173000211,174000188,177000222,178200222,181200222,182333544,185333555,186200211,189200222,189866877,192866888,193733555,196733555,197800222,200700222,,,,
CM0208,40266877,43266877,44633544,47633555,48400222,51400211,52233555,55233555,56366888,59366888,60133522,63133544,64300222,67300211,68166877,71166877,72133555,75133555,76266888,79266877,80400222,83400222,84266888,87266877,88100211,91100222,92033533,95033555,96100211,99100222,100100211,103100222,104133555,107133555,108300222,111300211,112333555,115333555,116266888,119266866,119766888,122766888,124100222,127100222,128100222,131100222,132433544,135433544,136333522,139333555,140066866,143066888,144200222,147200222,148200222,151200222,151866888,154266877,155100222,157133544,157833555,160833555,164433555,167433555,168100222,171100222,172166888,175166888,176233555,179233555,180000222,183000222,184266888,187266877,188133555,191133555,192200222,195200222,196333555,199633533,200266888,203266888
CM0308,40433544,43433544,46300222,49300222,50966888,53966888,54900222,57900211,58533555,61533555,62366877,65366888,66000211,69000222,69700222,72700211,73700222,76700222,77600222,80600200,81700222,84700222,85900211,88900222,90033555,93033555,93700222,96700222,98000222,101000211,101833555,104833555,106033555,109033555,109866888,112866888,113900222,116900222,117466888,120466877,121466888,124466888,126000222,129000211,129800222,132800222,133866888,136866877,138066888,141066888,142200222,145200188,145933555,148933555,149633555,152633555,153500211,156500222,157500222,160500222,161800222,164800211,166333555,169333544,170100222,173100222,174000222,177000211,177833555,180833555,181700222,184700222,185633555,188633544,189833544,192833555,193733544,196733544,197633544,200633555,,
CM0408,40166888,43166877,44333544,47333544,48200222,51200200,56200222,55600222,56200222,59200222,59700222,62700211,63833555,66833555,67966877,70966888,71700222,74700211,75700222,78700222,79466888,82466877,83666888,86666877,87866877,90866888,91933555,94933555,96100222,99100211,100166888,103166888,104066866,107066866,108100211,111100211,112033544,115033544,115833544,118833544,120066888,123066888,123800222,126800211,127900222,130900222,131800211,134800222,136166888,139166877,139300211,142300222,143900222,146900222,147800222,150800222,151533544,154533555,155200222,158200222,160000222,163000200,163800211,166800211,166833555,169833555,171366888,174366888,175266888,178266866,179466877,182466877,182833555,185833522,186600222,189600222,191033555,194033544,194733555,197733544,,
CM0508,40166888,43166855,44800222,47800222,48100200,51100222,52133533,55133544,56866877,59866877,60700222,63700222,64266855,67266877,69000211,72000222,72566877,75566888,75966888,78966877,79833544,82833533,83633555,86633555,87200222,90200211,91466888,94466877,95200211,98200222,99733555,102733555,103866888,106866866,107833555,110833544,111566888,114566888,115633555,118633544,119800222,122800222,123866888,126866888,127633555,130633555,131633555,134633544,135933555,138933555,140233533,143233555,144100222,147100222,147833555,150833555,151900211,154900222,155866877,158866888,160000211,163000222,164133555,167133544,168300222,171300211,172233555,175233555,175966877,178966877,179866877,182866888,184200222,187200222,188033555,191033555,191800222,194800200,195733555,198733544,199900222,202900200
CM0608,41766888,44766877,46066877,49066877,5700222,53700222,54400222,57400222,58033555,61033544,61666888,64666888,66100222,69100222,70200222,73200222,74033555,77033544,77966888,80966888,81766855,84766877,85966877,88966866,89900222,92900222,93866877,96866888,97800211,100800222,101533555,104533533,105633555,108633544,109633544,112633555,113700222,116700222,117966888,120966877,122100200,125100222,126166888,129166877,129833544,132833544,133766877,136766877,137600211,140600211,142100211,145100222,146100222,149100222,150033544,153033555,153866866,156866888,157533544,160533544,161666888,164666888,166133555,169133555,170033555,173033555,173766888,176766888,177866877,180866888,181900211,184900222,185766888,188766888,189933555,192933555,194000222,197000222,197933555,200933555,202000222,205000222
CM0708,40000211,43000222,44633544,47633544,48133555,51133555,52000222,55000222,55900222,58900211,59533555,62533544,63866866,66866888,67900222,70900222,71933533,74933533,75633555,78633555,79466877,82466888,83466888,86466877,87666866,90666866,91266888,94266888,95300222,98300211,99233555,102233555,103400222,106400222,107533555,110533544,111700222,114700211,115600222,118600211,120066888,123066888,123933555,126933544,128366888,131366888,132100222,135100222,135600211,138600222,139633533,142633544,143500211,146500211,147500222,150500222,151866877,154866888,155733555,158733544,159833555,162833544,164100222,167100222,167966888,170966877,172066888,175066888,175766877,178766877,179900211,182900222,183566888,186566877,187766877,190766888,191633544,194633555,195833544,198833544,199900200,202900222
CM0808,38766877,41766866,43166888,46166888,47100222,50100222,51233555,54233555,55100222,58100222,59100222,62100222,62966877,65966888,66866877,69866877,70900222,73900211,74833544,77833555,78966888,81966888,83133544,86133544,86866888,89866888,90800211,93800222,94533555,97533555,98833555,101833544,102866877,105866888,106800211,109800200,110833555,113833555,114766888,117766888,118933544,121933555,123133555,126133555,127333544,130333555,131300211,134300222,135133555,138133544,138900211,141900222,142900222,145900211,146900211,149900222,150866888,153866888,154966877,157966866,159133555,162133533,163200211,165200211,166933544,169933555,171266888,174266888,174966866,177966888,178933555,181933555,182400222,185400222,187133544,190133555,191266888,194266888,195200222,198200211,199033555,202033555
CM0908,40066866,43066888,43800222,46800211,47433544,50433544,51333555,54333555,55433555,58433544,59366877,62366877,63566877,66566888,68100211,71100211,71566877,74566888,75533555,78533522,79366888,82366888,83133555,86133555,87033555,90033555,90966866,93966877,94866888,97866888,98900211,101900211,102833544,105833555,106933544,109933544,111266877,114266888,115166888,118166888,118966888,121966888,123333544,126333555,127233555,130233544,131400222,134400200,135466877,138466888,139300211,142300222,143133555,146133555,147366888,150366866,151366888,154366888,155833555,158833544,159966888,162966888,163266877,166266888,167333544,170333555,171133544,174133544,175400222,178400222,179133544,182133555,183200222,186200222,187500222,190500222,191533555,194533555,195400222,198400222,199733555,202733555
CM1008,40333555,43333555,44300222,47300211,48700211,51700222,52766888,55766888,56866877,59866888,60733555,63733544,64633555,67633555,68500222,71500222,72266877,75266888,76233555,79233522,80433544,83433555,84300211,87300222,88300222,91300222,92633555,95633544,96533555,99533544,100300222,103300222,104233555,107233555,108633555,111633555,112400222,115400222,116600222,119600222,120400211,123400222,124400211,127400222,128266888,131266888,132300222,135300211,136766888,139766888,140333555,143333555,144433555,147433544,148433544,151433533,152333555,155333555,156233555,159233555,160433555,163433544,164200222,167200211,168366888,171366877,172333555,175333555,176466888,179466877,180233555,183233544,184600222,187600211,188400211,191400222,192000222,195000222,196400222,199400222,200733555,203733555
CM1108,40200211,43200222,44633544,47633555,48200222,51200222,51966888,54966877,55833544,58833555,59733555,62733555,64000211,67000222,68433555,71433555,72466888,75466866,76000211,79000211,80100211,83100211,84133555,87133533,88066888,91066877,92166888,95166877,95933555,98933555,99900222,102900211,103966866,106966888,107933555,110933555,111966888,114966877,115966888,118966877,120000211,123000211,124133555,127133555,128133544,131133544,132200188,135200211,136200211,139200211,140366888,143366888,144133544,147133555,148000222,151000211,152066877,155066888,156366888,159366888,160133555,163133555,164300222,167300222,168066877,171066888,172333555,175333555,176133555,179133555,180366866,183366877,184166877,187166877,187966877,190966888,192133555,195133544,195933544,198933544,200233555,203233555
CM1208,40033544,43033544,43500211,46500222,48000211,51000222,51733555,54733544,55633544,58633555,59466877,62466888,63333555,66333555,67733544,70733533,72200222,75200211,76466866,79466888,80266888,83266877,84000222,87000222,88100222,91100222,91966888,94966888,96066855,99066877,100233555,103233544,104433544,107433544,108466888,111466888,112166888,115166866,116366877,119366877,120600222,123600211,124433555,127433555,128133533,131133555,132000222,135000211,135866888,138866888,139533544,142533555,143200211,146200222,147166888,150166877,151633544,154633555,155866888,158866888,159800222,162800211,163766888,166766888,167833544,170833544,171966877,174966888,176033544,179033555,179833555,182833555,183700222,186700222,187866877,190866877,191933544,194933555,195733555,198733533,199466866,202466866
