CM0106,41133555,44100222,46600222,49800222,50400222,53000211,53900222,56333555,57300211,60333544,61466877,64366888,65566888,68566888,70000222,72700222,73966877,76633544,77633544,80400222,81600200,84766877,86000222,89000211,90300222,93000211,94333555,96566888,97433555,100333533,101500222,104100222,105433555,108266888,109900222,112266888,113500211,116166888,117566866,120233555,121666888,124300211,125900222,128400222,129700200,132333555,133833544,136233555,137466888,140233533,140933555,143933555,145500511,148566888,150033544,153066888,154100211,157000222,158600222,161000211,162166866,165166888,166533555,168600222,170366888,173000211,174300222,176866877,177900211,180600200,181966888,184666877,185866888,188366888,189833544,192466888,193600222,196433555,197933555,200733533,,,,
CM0206,40033544,43033555,44200222,47400222,48666888,51000222,52666888,55333544,56600222,58933555,60033555,63066888,64166877,67000222,68200222,71300222,72100222,75133544,76166855,79100211,80433544,83066888,84666888,87166888,88866888,91333555,92133555,95000222,96466888,99000222,100166888,103000222,103866877,106866888,108466877,111233555,112666888,115100222,115966888,118633544,119733555,122500222,124400211,127400222,128800222,131200211,132900222,135600211,136866888,139666888,140933544,143833555,145100211,147533544,148766888,151400222,152733544,155333555,156566877,159333544,161000211,163333544,164466877,167366888,168633555,171200211,172700222,175233544,176766888,179433544,180800222,183633555,184966888,187233522,188200222,191000222,191833555,194933555,195966877,198900222,200000211,203000211,,
CM0306,40166888,43033555,44466877,47233555,48900222,51266888,52366877,55133555,56266888,59000222,60466877,63266877,64666866,67266888,68700222,71533555,73033544,75433555,76700222,79400222,80733544,83133555,84866888,87066888,88966877,91500222,93100211,95266888,97200222,99800222,101366877,103266888,104933544,107166888,109033555,111500222,113133544,115466877,116866888,119400211,121033555,124066877,125100222,127300211,128600222,131333544,132800222,135100222,136500222,138933555,140833555,143000222,144433555,147133544,148533522,151233555,152566888,155266877,156766888,159000211,160366888,162500222,163866877,166600222,168433544,171066888,172366888,175000222,176433544,179433544,180966877,183300222,184766877,187233555,188666888,191066888,192500200,195233544,196700200,199100222,200400222,203000200,,
CM0406,40166888,43233533,44800211,47766888,48866888,51700222,52700222,55466888,57066866,60266888,61100222,64233555,65933544,68833555,69166888,72333555,73600222,76566855,77533555,80633555,81666877,85633533,86566888,89233544,90500222,93033555,93800211,96133555,96166888,99233544,99500200,102500222,104133555,107100222,108366888,111333555,112033544,115066877,116566888,119366866,120433555,123166888,123866888,126233533,128133555,131233555,133066877,136033544,136066888,139200211,140433555,143200211,144400222,147333544,148400211,151000211,151866888,154166888,155533555,158366888,159500222,162100200,163033544,165466888,166133555,169300222,170466877,173333555,174700222,177366877,179000222,182166888,182833555,185533555,187400222,190000222,190933555,193600211,195600211,198000222,199566888,202066877,,
CM0506,40233555,43233555,44366877,47366888,48300222,50866866,52066866,55066866,55500222,58300211,60000222,63000211,63200222,66200222,66933555,66933555,70466888,73466888,74266888,77266877,77700222,80700222,82266888,85266888,86000222,89000211,90300200,93300222,94333555,97333544,97833555,100833555,101333544,104333544,105866888,108866877,111033555,114033544,115466888,118466855,119766888,122766888,124133544,127133544,128266877,130833555,131700222,134700222,140000222,143000222,144233555,147233555,148533544,151533555,152166888,155166888,155933544,158933555,160500211,163233555,163933555,166933555,168566888,171566888,172533555,175100211,176000222,179000211,180166888,182700222,183366888,186366888,187166888,190166877,191800222,194400211,195833555,198833555,200000222,203000222,,,,
CM0606,40600222,43600200,45333555,47666877,48833555,51433555,52700200,55700222,57033555,60033555,60500222,63500211,65000222,67666888,68966877,71166877,71833544,74133555,75166888,77166888,78033544,80233555,81266877,83466888,84466888,86600222,87500211,89666877,90333555,92500200,93200222,95566888,96800211,98833555,99633555,101633544,102766877,104766888,105766888,107800222,108733555,110766888,111566888,113800211,114866888,117666888,118833555,121266877,122133555,124133555,125066888,127066888,128066888,130266888,131233533,133233544,133833544,135833555,137033544,139200222,140066888,142300211,142866888,145866888,146766877,149000188,149900222,152000211,152900222,155566888,156466877,159366888,160633555,162666877,163300222,165633555,166600222,168933533,169800211,172200222,172900211,175633555,,
CM0706,42066877,45066855,45500222,48500222,49733555,52733555,53433511,56433555,58333555,61333544,62400211,65400222,67033555,70033555,70566888,73566888,74666888,77666888,78400222,81400222,82700222,85700222,86100222,89100222,90533555,92733544,93733544,96733555,97933555,100933555,101966866,104966877,106166866,109166888,110233555,113233544,114433555,117033544,118133555,121133555,122866888,125366888,126366888,128966888,130100222,133100211,134233544,137200222,139000222,141900211,142100211,145100222,146166888,149166877,150166877,153166888,154766888,157466866,158400211,161400211,163300222,166300211,167100211,169500222,171500211,174000222,174633555,177266888,178166877,180600188,181700222,184700211,186000222,188566888,189900222,192900222,194300211,197000211,198300222,200866888,202066888,205066888,,
CM0806,39133555,42133555,43800222,46533544,47500222,50500222,51300222,54300222,55600222,58600222,60633544,62933544,63966888,66533555,67733544,70733555,72433555,75433555,76300211,79300222,80000211,83000211,83733544,86733555,87966888,90566888,91933544,94933555,95700211,98500222,99766888,102766877,103533555,106200211,107133544,110133544,111133544,114133544,115100222,118100222,119100222,112100200,123733555,126200222,127333544,130333555,131800222,134800211,136066888,138700211,139700211,142500222,143366888,146366888,147633555,150633544,151466888,154466888,155666877,158666877,159766888,162400211,164166888,166866888,168066888,170766888,172100211,174633555,175833555,178500222,179533544,182533555,183633544,186266888,187666888,190000222,191400222,194166888,195933555,198733555,200266877,203266888,,
CM0906,40800211,43800222,44566877,47066888,48233544,51233544,52266877,55266888,56266888,59266888,60200222,63200222,64633544,67633544,68766888,71766877,72333544,75333544,76866888,79866877,80500222,83233555,84033544,87033555,88233555,91233544,92466888,95466888,95566877,98566866,99866888,102866888,104566888,107266888,108766877,111766877,112033544,115033555,116333555,119333555,120966888,123566888,124533555,127533555,128800222,131333555,132566877,135566888,136633555,139200222,140133544,143133544,144600222,147000222,147433555,150433555,151300222,153900200,154700211,157500211,158700211,161700222,162300211,165300211,166033544,168566866,170100222,172533555,173400222,176133555,177233533,180133555,181100211,183466888,184733544,187433544,188333555,191100222,192066888,195066888,195700222,198700211,,
CM1006,40000222,42566877,43300211,46300222,47266888,49900222,51200211,54200222,55000222,57966888,59633555,62633555,64500222,67100222,68233555,71233544,72666888,75066888,76366888,79366888,80333544,82533555,83666888,86466866,87733544,90733555,92066888,95066888,95933555,98600211,99266877,102266877,104133555,106400222,108066888,111066877,112833555,115233555,116166888,119166888,120066888,122566877,123633544,126633544,127566877,130066888,131000211,133866888,135466888,137866888,139366888,141733544,142433555,145000222,146200200,149066888,150300222,153000211,153866888,156866888,158000211,160066888,162066888,164366877,165600222,168266888,169666888,172366888,172800222,175433544,176533555,179533544,180666877,182900222,183733555,186500222,187333555,190000222,191100222,194100200,194866888,197066877,199133555,202133522
